iter	Passed	Remaining
0	2	224
1	4	197
2	6	194
3	7	181
4	9	181
5	11	177
6	12	171
7	14	166
8	16	163
9	17	159
10	19	156
11	22	161
12	23	158
13	25	156
14	27	154
15	28	150
16	30	148
17	31	145
18	33	142
19	35	140
20	36	137
21	37	133
22	39	130
23	40	126
24	41	123
25	42	119
26	43	116
27	43	113
28	44	110
29	45	106
30	46	104
31	48	102
32	49	99
33	52	101
34	53	99
35	54	96
36	54	93
37	55	91
38	57	89
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	63	74
46	63	72
47	65	70
48	66	69
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	73	60
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	88	51
63	89	50
64	89	48
65	90	46
66	91	45
67	92	43
68	93	41
69	94	40
70	95	38
71	97	37
72	97	36
73	99	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	108	17
86	110	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	121	1
99	122	0
